Namespace,Pod Name,Container Name,SP HttpGet,SP FailureThreshold,SP InitialDelaySeconds,SP PeriodSeconds,SP SuccessThreshold,SP TimeoutSeconds,LP HttpGet,LP FailureThreshold,LP InitialDelaySeconds,LP PeriodSeconds,LP SuccessThreshold,LP TimeoutSeconds,RP HttpGet,RP FailureThreshold,RP InitialDelaySeconds,RP PeriodSeconds,RP SuccessThreshold,RP TimeoutSeconds
empwr-uat,bip-jwt-generator-uat-7bf7657b7b-67sjn,jaeger-agent, , , , , , ,/app-health/jaeger-agent/livez,5,5,15,1,1,/app-health/jaeger-agent/readyz,3,1,10,1,1
empwr-uat,bip-jwt-generator-uat-7bf7657b7b-67sjn,istio-proxy,/healthz/ready,600, ,1,1,3, , , , , , ,/healthz/ready,4, ,15,1,3
empwr-uat,bip-kafka-uat-5df847fd77-hxbrt,jaeger-agent, , , , , , ,/app-health/jaeger-agent/livez,5,5,15,1,1,/app-health/jaeger-agent/readyz,3,1,10,1,1
empwr-uat,bip-kafka-uat-5df847fd77-hxbrt,istio-proxy,/healthz/ready,600, ,1,1,3, , , , , , ,/healthz/ready,4, ,15,1,3
empwr-uat,bip-ms-busns-tran-commit-uat-54f8b875b8-j4m2x,bip-ms-busns-tran-commit, , , , , , ,/app-health/bip-ms-busns-tran-commit/livez,5,600,10,1,30, , , , , , 
empwr-uat,bip-ms-busns-tran-commit-uat-54f8b875b8-j4m2x,jaeger-agent, , , , , , ,/app-health/jaeger-agent/livez,5,5,15,1,1,/app-health/jaeger-agent/readyz,3,1,10,1,1
empwr-uat,bip-ms-busns-tran-commit-uat-54f8b875b8-j4m2x,istio-proxy,/healthz/ready,600, ,1,1,3, , , , , , ,/healthz/ready,4, ,15,1,3
empwr-uat,bip-ms-efolder-uat-559944ccb7-8f2bk,bip-ms-efolder, , , , , , ,/app-health/bip-ms-efolder/livez,5,600,10,1,30, , , , , , 
empwr-uat,bip-ms-efolder-uat-559944ccb7-8f2bk,jaeger-agent, , , , , , ,/app-health/jaeger-agent/livez,5,5,15,1,1,/app-health/jaeger-agent/readyz,3,1,10,1,1
empwr-uat,bip-ms-efolder-uat-559944ccb7-8f2bk,istio-proxy,/healthz/ready,600, ,1,1,3, , , , , , ,/healthz/ready,4, ,15,1,3
empwr-uat,bip-ms-eft-address-uat-77754dc676-tgcrn,bip-ms-eft-address, , , , , , ,/app-health/bip-ms-eft-address/livez,5,600,10,1,10, , , , , , 
empwr-uat,bip-ms-eft-address-uat-77754dc676-tgcrn,jaeger-agent, , , , , , ,/app-health/jaeger-agent/livez,5,5,15,1,1,/app-health/jaeger-agent/readyz,3,1,10,1,1
empwr-uat,bip-ms-eft-address-uat-77754dc676-tgcrn,istio-proxy,/healthz/ready,600, ,1,1,3, , , , , , ,/healthz/ready,4, ,15,1,3
empwr-uat,bip-ms-fas-notes-uat-65f6766fd8-x95wc,bip-ms-fas-notes, , , , , , ,/app-health/bip-ms-fas-notes/livez,5,600,10,1,10, , , , , , 
